ID,TYPE,CORTES
3280,Video,00:00:00|00:04:37
3281,Video,00:02:00|00:04:38|00:09:00|00:14:10
3282,Video,00:01:05|00:02:39
3283,Video,00:01:06|00:02:40
3284,Video,00:01:03|00:02:41
3285,Video,00:02:10|00:02:42
3286,Video,00:02:07|00:08:43|00:09:00|00:12:10
3287,Video,00:02:12|00:02:44|00:04:00|00:07:10
3288,Video,00:02:00|00:02:50
3289,Video,00:00:33|00:07:51
3290,Video,00:00:11|00:08:00
3291,Video,00:01:00|00:04:15|00:04:23|00:12:30
3292,Video,00:01:05|00:06:42
3293,Video,00:02:07|00:07:43
3294,Video,00:00:02|00:05:44|00:07:32|00:14:49
3295,Video,00:00:00|00:14:50
3296,Video,00:02:13|00:09:51
3297,Video,00:02:11|00:12:52
3298,Video,00:02:12|00:08:53|00:09:00|00:14:49
3299,Video,00:00:00|00:10:53|00:14:00|00:14:10